Dataset,Mode,Alpha,Beta,Label Rate ( % ),Acc Mean,Acc Std
MUTAG,all_aug,0.9,0.5,10,0.780701756477356,"0.009035459905862808
"
NCI1,all_aug,0.7,0.3,1,0.610948920249939,"0.006436789035797119
"
MUTAG,all_aug,0.9,0.7,1,0.7076023817062378,"0.014480163156986237
"
PROTEINS,louvain,0.7,None,10,0.7304939031600952,"0.002269509062170982
"
NCI1,all_aug,0.7,0.3,10,0.7406326532363892,"0.0027340251952409746
"
MUTAG,all_aug,0.9,0.7,10,0.7657895088195801,"0.007973698526620865
"
PROTEINS,louvain,0.9,None,10,0.7278072834014893,"0.004117839783430099
"
MUTAG,louvain,0.5,None,1,0.6064327955245972,"0.013389557600021362
"
MUTAG,louvain,0.5,None,10,0.7859649658203125,"0.009243136644363404
"
NCI1,all_aug,0.7,0.5,1,0.6311435103416443,"0.0032888244837522506
"
MUTAG,louvain,0.7,None,1,0.5798245668411255,"0.016510646045207977
"
NCI1,all_aug,0.7,0.5,10,0.7411192655563354,"0.002572895772755146
"
MUTAG,louvain,0.7,None,10,0.7923976182937622,"0.006397207826375961
"
MUTAG,louvain,0.9,None,1,0.5312865376472473,"0.018734784424304964
"
NCI1,all_aug,0.7,0.7,1,0.6153284311294556,"0.004422085732221604
"
PROTEINS,embeddings,0.5,None,10,0.728659987449646,"0.0022769410163164137
"
MUTAG,louvain,0.9,None,10,0.8023391962051392,"0.00990821123123169
"
NCI1,all_aug,0.7,0.7,10,0.7364963293075562,"0.00126192569732666
"
MUTAG,embeddings,0.5,None,1,0.5605262517929077,"0.016727855801582335
"
MUTAG,embeddings,0.5,None,10,0.7973684072494507,"0.008196469396352768
"
PROTEINS,embeddings,0.7,None,10,0.7089928388595581,"0.004968446120619774
"
NCI1,all_aug,0.9,0.3,1,0.6226276755332947,"0.0045612044632434845
"
NCI1,all_aug,0.9,0.3,10,0.7459853887557983,"0.0023734232410788534
"
PROTEINS,embeddings,0.9,None,10,0.7152429223060608,"0.003988179937005043
"
MUTAG,embeddings,0.7,None,1,0.6499999761581421,"0.0177034392952919
"
MUTAG,embeddings,0.7,None,10,0.7701754570007324,"0.011202389001846313
"
NCI1,all_aug,0.9,0.5,1,0.6326033473014832,"0.00476234070956707
"
NCI1,all_aug,0.9,0.5,10,0.7467153668403625,"0.002560722827911377
"
MUTAG,embeddings,0.9,None,1,0.7353800535202026,"0.009065113961696625
"
MUTAG,embeddings,0.9,None,10,0.7979532480239868,"0.011126874387264252
"
NCI1,all_aug,0.9,0.7,1,0.623600959777832,"0.003893028199672699
"
NCI1,all_aug,0.9,0.7,10,0.7416057586669922,"0.002440647967159748
"
NCI1,louvain,0.5,None,1,0.6282237768173218,"0.005062022805213928
"
NCI1,louvain,0.5,None,10,0.7549878358840942,"0.0022301115095615387
"
NCI1,louvain,0.7,None,1,0.636496365070343,"0.004242547228932381
"
NCI1,louvain,0.7,None,10,0.7435523271560669,"0.0028379086405038835
"
NCI1,louvain,0.9,None,1,0.6126521229743958,"0.0051801897585392
"
NCI1,louvain,0.9,None,10,0.7450122237205505,"0.002846240997314453
"
NCI1,embeddings,0.5,None,1,0.6014598608016968,"0.004301977157592773
"
NCI1,embeddings,0.5,None,10,0.7296836972236633,"0.003097773343324661
"
NCI1,embeddings,0.7,None,1,0.6240875720977783,"0.004812149703502655
"
NCI1,embeddings,0.7,None,10,0.7401459217071533,"0.002535814791917801
"
NCI1,embeddings,0.9,None,1,0.6223844289779663,"0.006598615646362304
"
NCI1,embeddings,0.9,None,10,0.7484184503555298,"0.0026335382834076883
"
